
[00:00:00.000 --> 00:00:05.000]   Começamos. Sejam muito bem-vindas
[00:11:35.400 --> 00:11:36.650]   de yoga, porque ela vai fazer
[00:11:36.650 --> 00:11:38.020]   algo que ela gosta, vai ganhar
[00:11:38.020 --> 00:11:39.200]   dinheiro e vai sair dessa vida
[00:11:39.200 --> 00:11:40.780]   de mentora de infoprodutos que
[00:11:40.780 --> 00:11:41.800]   ela está estressada.
[00:11:41.800 --> 00:11:43.450]   Então ela entendeu que eu sou
[00:11:43.450 --> 00:11:44.830]   uma persona para ela pelo
[00:11:44.830 --> 00:11:46.640]   problema que ela resolve, mas
[00:11:46.640 --> 00:11:48.000]   partindo de onde?
[00:11:48.000 --> 00:11:49.920]   A Carol não tem consciência
[00:11:49.920 --> 00:11:51.910]   nenhuma e nem o momento da
[00:11:51.910 --> 00:11:53.730]   minha vida passou pela minha
[00:11:53.730 --> 00:11:55.920]   cabeça que eu queria, o que eu
[00:11:55.920 --> 00:11:57.550]   quero, o que eu vou ser professora
[00:11:57.550 --> 00:12:00.000]   de yoga, mas ela viu uma lacuna.
[00:12:00.000 --> 00:12:02.550]   Então isso acontece no geral,
[00:12:02.550 --> 00:12:04.790]   todo mundo que ensina uma profissão
[00:12:04.790 --> 00:12:07.020]   nova você está disputando com
[00:12:07.020 --> 00:12:09.080]   milhares de experts em outras
[00:12:09.080 --> 00:12:11.300]   áreas aleatórias que querem a
[00:12:11.300 --> 00:12:12.600]   mesma pessoa.
[00:12:12.600 --> 00:12:14.200]   Porque a Elaine pode ensinar
[00:12:14.200 --> 00:12:15.930]   yoga para a Carol estressada,
[00:12:15.930 --> 00:12:17.330]   mas a Sandra pode ensinar
[00:12:17.330 --> 00:12:19.600]   tecnologia para a Carol estressada,
[00:12:19.600 --> 00:12:21.690]   o Leandro pode ensinar religião
[00:12:21.690 --> 00:12:23.640]   para a Carol estressada, todo
[00:12:23.640 --> 00:12:25.600]   mundo querendo a Carol estressada.
[00:12:25.600 --> 00:12:27.140]   E por que isso é tão importante
[00:12:27.140 --> 00:12:28.690]   para vocês saberem? Porque a
[00:12:28.690 --> 00:12:30.120]   Carol tem um dinheiro só, eu
[00:12:30.120 --> 00:12:31.770]   tenho 10 mil para gastar com
[00:12:31.770 --> 00:12:32.810]   mentoria e cada um tem um
[00:12:32.810 --> 00:12:34.780]   produto de 10 mil, então eu só
[00:12:34.780 --> 00:12:36.200]   tenho um 10 mil para dar.
[00:12:36.200 --> 00:12:37.800]   E para qual que eu vou escolher?
[00:12:37.800 --> 00:12:40.130]   Para qual entender melhor o meu
[00:12:40.130 --> 00:12:41.670]   contexto, falar mais das minhas
[00:12:41.670 --> 00:12:43.610]   dores, entender mais e mostrar
[00:12:43.610 --> 00:12:45.640]   que a sua mudança de profissão
[00:12:45.640 --> 00:12:47.840]   é mais fácil, mais lucrativa,
[00:12:47.840 --> 00:12:48.800]   mais rápida.
[00:12:48.800 --> 00:12:50.260]   E aí vira a chavinha da Carol
[00:12:50.260 --> 00:12:51.830]   que não tinha consciência
[00:12:51.830 --> 00:12:53.610]   nenhuma de mudar de profissão,
[00:12:53.610 --> 00:12:55.250]   mas estava estressada e estava
[00:12:55.250 --> 00:12:56.860]   insatisfeita que ela estava,
[00:12:56.860 --> 00:12:59.000]   que você sim é a melhor solução.
[00:12:59.000 --> 00:13:00.370]   Porque a Carol vai seguir a
[00:13:00.370 --> 00:13:01.960]   Elaine, o Leandro, a Sandra, eu
[00:13:01.960 --> 00:13:03.430]   vou seguir várias pessoas,
[00:13:03.430 --> 00:13:04.900]   quais delas que eu vou escolher
[00:13:04.900 --> 00:13:06.580]   para gastar os meus únicos 10
[00:13:06.580 --> 00:13:07.200]   mil?
[00:13:07.200 --> 00:13:09.800]   Essa é a grande confecção que a
[00:13:09.800 --> 00:13:12.050]   gente tem no mercado, você não
[00:13:12.050 --> 00:13:14.410]   concorre com yoga com yoga, TTI
[00:13:14.410 --> 00:13:16.630]   com TTI, não é isso, a gente
[00:13:16.630 --> 00:13:18.820]   concorre com o mesmo dinheiro
[00:13:18.820 --> 00:13:21.070]   da persona que ela tem disponível
[00:13:21.070 --> 00:13:22.400]   para gastar com alguém.
[00:13:22.400 --> 00:13:23.960]   E aí eu vou gastar com você ou
[00:13:23.960 --> 00:13:25.810]   com ela? Mesmo que vocês tenham
[00:13:25.810 --> 00:13:27.790]   soluções diferentes, totalmente
[00:13:27.790 --> 00:13:29.820]   diferentes, mas trabalham a dor
[00:13:29.820 --> 00:13:31.600]   central que é a mesma que é
[00:13:31.600 --> 00:13:33.630]   Carol estressada, que talvez
[00:13:33.630 --> 00:13:35.230]   pode mudar de profissão, mas
[00:13:35.230 --> 00:13:36.600]   ela nem tem consciência disso.
[00:13:36.600 --> 00:13:37.760]   Ou eu sou uma funcionária
[00:13:37.760 --> 00:13:39.590]   pública que quero mudar de profissão,
[00:13:39.590 --> 00:13:41.190]   mas não sei qual ainda, então a
[00:13:41.190 --> 00:13:42.770]   Carol primeira não tinha nem
[00:13:42.770 --> 00:13:44.010]   consciência que ela queria
[00:13:44.010 --> 00:13:45.200]   mudar de profissão.
[00:13:45.200 --> 00:13:46.680]   Então tem conteúdos que vocês
[00:13:46.680 --> 00:13:47.800]   têm que, que tal você mudar de
[00:13:47.800 --> 00:13:49.170]   profissão? Olha como o conteúdo
[00:13:49.170 --> 00:13:50.400]   vai trazendo a consciência.
[00:13:50.400 --> 00:13:51.640]   Agora a outra Carol que já quer
[00:13:51.640 --> 00:13:53.000]   mudar e fazer transição, mas
[00:13:53.000 --> 00:13:54.330]   não sabe para onde isso fala,
[00:13:54.330 --> 00:13:55.200]   olha como mudar para cá é
[00:13:55.200 --> 00:13:56.340]   melhor, mais fácil, mais
[00:13:56.340 --> 00:13:58.050]   simples, mais rentável, você
[00:13:58.050 --> 00:13:59.220]   tem tempo para ficar com a sua
[00:13:59.220 --> 00:14:00.600]   filha, ou ela vai ficando mais
[00:14:00.600 --> 00:14:01.200]   atrativa.
[00:14:01.200 --> 00:14:02.720]   Então olha como o nosso
[00:14:02.720 --> 00:14:04.290]   conteúdo vai mudando e o
[00:14:04.290 --> 00:14:06.600]   conteúdo de conscientização e a
[00:14:06.600 --> 00:14:09.120]   partida de onde está o seu infoproduto
[00:14:09.120 --> 00:14:11.200]   de acordo com a sua persona.
[00:14:11.200 --> 00:14:12.820]   Por que muda isso? Porque muda
[00:14:12.820 --> 00:14:14.200]   seu primeiro módulo, seu
[00:14:14.200 --> 00:14:16.000]   primeiro módulo introdutório,
[00:14:16.000 --> 00:14:17.560]   tem que trazer conceitos, eu
[00:14:17.560 --> 00:14:18.720]   posso falar de parte mais
[00:14:18.720 --> 00:14:20.400]   técnica, eu nem entro nisso.
[00:14:20.400 --> 00:14:22.290]   Que tamanho da jornada que você
[00:14:22.290 --> 00:14:23.830]   promete? Aqui é o tamanho da
[00:14:23.830 --> 00:14:25.310]   sua jornada. Que tamanho de
[00:14:25.310 --> 00:14:27.600]   jornada você promete no seu infoproduto?
[00:14:27.600 --> 00:14:30.200]   Carol, eu, quando eu comecei,
[00:14:30.200 --> 00:14:32.070]   eu comecei o que? Te ensino a
[00:14:32.070 --> 00:14:33.540]   te preparar para o lançamento,
[00:14:33.540 --> 00:14:34.870]   mas você nem está no digital
[00:14:34.870 --> 00:14:35.400]   ainda.
[00:14:35.400 --> 00:14:36.960]   Então eu tenho que te ensinar a
[00:14:36.960 --> 00:14:38.640]   criar método, criar produto,
[00:14:38.640 --> 00:14:40.260]   criar esteira, criar página e
[00:14:40.260 --> 00:14:41.980]   ir para lançamento. Olha que
[00:14:41.980 --> 00:14:43.460]   loucura, é muito grande essa
[00:14:43.460 --> 00:14:44.000]   jornada.
[00:14:44.000 --> 00:14:46.040]   Érico Rocha, ele ensina o que?
[00:14:46.040 --> 00:14:48.630]   Do zero aos dois milhões. Obviamente,
[00:14:48.630 --> 00:14:50.470]   ele é um gigante e eu não tenho
[00:14:50.470 --> 00:14:52.460]   como me comparar, ele tem provas
[00:14:52.460 --> 00:14:54.100]   de pessoas dos zero aos dois
[00:14:54.100 --> 00:14:56.090]   milhões, só que é uma jornada
[00:14:56.090 --> 00:14:57.970]   muito mais longa. E aí quando
[00:14:57.970 --> 00:14:59.150]   eu estava na mentoria da Arcana,
[00:14:59.150 --> 00:15:00.550]   ele falou, corta a parte de
[00:15:00.550 --> 00:15:03.290]   lançamento e foca em metodologia,
[00:15:03.290 --> 00:15:04.600]   que as pessoas não sabem nisso.

[00:15:00.000 --> 00:15:02.110]   a parte de lançamento e foca em
[00:15:02.110 --> 00:15:03.930]   metodologia que as pessoas não
[00:15:03.930 --> 00:15:06.180]   sabem nisso e esse é o seu
[00:15:06.180 --> 00:15:06.520]   grande
[00:15:06.520 --> 00:15:08.420]   resultado é em criação de produtos.
[00:15:08.420 --> 00:15:09.890]   Eu tenho facilidade, acabei de
[00:15:09.890 --> 00:15:12.320]   mostrar pra vocês que a facilidade
[00:15:12.320 --> 00:15:13.320]   em criar produtos é pra
[00:15:13.320 --> 00:15:14.920]   mim a parte mais fácil. Então
[00:15:14.920 --> 00:15:16.570]   pra que que eu ia até o lançamento
[00:15:16.570 --> 00:15:17.880]   que é uma jornada muito mais
[00:15:17.880 --> 00:15:20.370]   longa? Aí o que a gente pode
[00:15:20.370 --> 00:15:22.190]   fazer? Outro infoproduto que
[00:15:22.190 --> 00:15:24.480]   esse ponto de partida começa no
[00:15:24.480 --> 00:15:24.960]   ponto de
[00:15:24.960 --> 00:15:26.430]   chegada do outro e aí vem
[00:15:26.430 --> 00:15:28.390]   aquela tal da esteira, terminei
[00:15:28.390 --> 00:15:31.130]   aqui, entro no próximo produto
[00:15:31.130 --> 00:15:31.640]   que inicia
[00:15:31.640 --> 00:15:34.240]   onde isso terminou. Cria o
[00:15:34.240 --> 00:15:36.150]   próximo, muito mais fácil a
[00:15:36.150 --> 00:15:38.630]   gente cortar o nosso produto em
[00:15:38.630 --> 00:15:39.000]   mini
[00:15:39.000 --> 00:15:40.750]   infoprodutos pra que a gente
[00:15:40.750 --> 00:15:42.930]   consiga provas mais rápido.
[00:15:42.930 --> 00:15:45.170]   Então muitas vezes vocês estão
[00:15:45.170 --> 00:15:45.520]   com a
[00:15:45.520 --> 00:15:47.470]   metodologia muito longa, não
[00:15:47.470 --> 00:15:49.450]   conseguem ter o começo meio fim
[00:15:49.450 --> 00:15:51.200]   porque a clareza é muito mais
[00:15:51.200 --> 00:15:53.800]   difícil de vender, de entregar
[00:15:53.800 --> 00:15:55.880]   e do seu aluno ter resultado e
[00:15:55.880 --> 00:15:58.610]   aí sim vocês começam a desistir
[00:15:58.610 --> 00:15:58.840]   e
[00:15:58.840 --> 00:16:01.810]   achar complicado demais. Possivelmente
[00:16:01.810 --> 00:16:03.980]   a persona não tá bem definida e
[00:16:03.980 --> 00:16:05.760]   esse ponto de partida também
[00:16:05.760 --> 00:16:08.280]   não e a jornada fica muito longa.
[00:16:08.280 --> 00:16:09.690]   Quem já passou por isso aí
[00:16:09.690 --> 00:16:11.510]   conta pra mim. E eu quero pra
[00:16:11.510 --> 00:16:11.760]   deixar
[00:16:11.760 --> 00:16:13.410]   muito claro na hora que vocês
[00:16:13.410 --> 00:16:15.110]   forem definir os seus pontos de
[00:16:15.110 --> 00:16:16.840]   partida e chegada que eles não
[00:16:16.840 --> 00:16:19.360]   tenham um ponto aleatório ou
[00:16:19.360 --> 00:16:21.880]   subjetivo. Eu quero que eles sejam
[00:16:21.880 --> 00:16:24.160]   checkpoints, que você consiga
[00:16:24.160 --> 00:16:26.760]   responder sim ou não. Ou seja,
[00:16:26.760 --> 00:16:28.590]   quando a gente vem aqui no
[00:16:28.590 --> 00:16:30.760]   ponto de partida é essa pessoa
[00:16:30.760 --> 00:16:31.320]   é iniciante?
[00:16:31.320 --> 00:16:33.920]   Sim ou não? A gente consegue
[00:16:33.920 --> 00:16:35.480]   responder de forma objetiva
[00:16:35.480 --> 00:16:37.990]   qual é o ponto de partida. Ela
[00:16:37.990 --> 00:16:39.120]   é iniciante,
[00:16:39.120 --> 00:16:40.790]   ela nunca entrou no digital,
[00:16:40.790 --> 00:16:42.530]   ela tem Instagram fechado, ela
[00:16:42.530 --> 00:16:44.560]   tem vergonha de gravar vídeo.
[00:16:44.560 --> 00:16:45.360]   Tudo
[00:16:45.360 --> 00:16:46.760]   que ela faz assim sim sim e aí
[00:16:46.760 --> 00:16:48.300]   eu entendi quem é o ponto de
[00:16:48.300 --> 00:16:49.930]   partida. O ponto de chegada é a
[00:16:49.930 --> 00:16:50.080]   mesma
[00:16:50.080 --> 00:16:51.760]   coisa. Ela gravou o primeiro
[00:16:51.760 --> 00:16:53.740]   vídeo, ela criou o produto dela,
[00:16:53.740 --> 00:16:55.480]   ela fez um lançamento e ela fez
[00:16:55.480 --> 00:16:55.560]   a
[00:16:55.560 --> 00:16:57.310]   primeira venda e validou o método.
[00:16:57.310 --> 00:16:58.950]   Check, check, check. Eu consigo
[00:16:58.950 --> 00:17:00.760]   dar checks. Então seu ponto de
[00:17:00.760 --> 00:17:02.030]   partida e o ponto de chegada
[00:17:02.030 --> 00:17:03.700]   não são subjetivos. Por isso
[00:17:03.700 --> 00:17:05.560]   que quem trabalha com desenvolvimento
[00:17:05.560 --> 00:17:08.650]   pessoal tem que trazer checkpoints
[00:17:08.650 --> 00:17:11.210]   pra quem tanto você prove que
[00:17:11.210 --> 00:17:13.680]   entregou a promessa quanto a
[00:17:13.680 --> 00:17:13.960]   pessoa
[00:17:13.960 --> 00:17:15.720]   pergunta. Porque às vezes o
[00:17:15.720 --> 00:17:17.610]   sentimento é tão subjetivo que
[00:17:17.610 --> 00:17:19.360]   eu não consigo interpretar,
[00:17:19.360 --> 00:17:21.210]   transparecer. E aí você fala
[00:17:21.210 --> 00:17:23.250]   você tá mais estressada e menos
[00:17:23.250 --> 00:17:25.160]   estressada? Difícil isso. Agora
[00:17:25.160 --> 00:17:26.630]   você fala assim parei de roer a
[00:17:26.630 --> 00:17:28.570]   unha, não como mais por compulsão.
[00:17:28.570 --> 00:17:30.400]   Olha como eu tô trazendo algo
[00:17:30.400 --> 00:17:32.010]   objetivo. Parei de roer a unha?
[00:17:32.010 --> 00:17:33.660]   É fácil, só olhar pra unha. Tô
[00:17:33.660 --> 00:17:35.720]   roendo, não tô roendo. Parei de
[00:17:35.720 --> 00:17:36.600]   comer mais
[00:17:36.600 --> 00:17:38.100]   do que deveria? Parei de comer
[00:17:38.100 --> 00:17:39.700]   até ficar explodindo? Então
[00:17:39.700 --> 00:17:41.720]   você consegue transformar o que
[00:17:41.720 --> 00:17:41.840]   era
[00:17:41.840 --> 00:17:43.670]   importante pra ela em atitudes
[00:17:43.670 --> 00:17:45.760]   que ela tinha, que é o ponto de
[00:17:45.760 --> 00:17:47.240]   partida, pra atitudes que ela
[00:17:47.240 --> 00:17:47.840]   deixa de
[00:17:47.840 --> 00:17:49.420]   ter, que é o ponto de chegada.
[00:17:49.420 --> 00:17:50.770]   E aí sim, mesmo que seja um
[00:17:50.770 --> 00:17:52.880]   desenvolvimento pessoal, nós
[00:17:52.880 --> 00:17:54.080]   tangibilizamos
[00:17:54.080 --> 00:17:56.340]   as entregas dos seus infoprodutos.
[00:17:56.340 --> 00:17:58.170]   Pra quê? Pra que eles tenham
[00:17:58.170 --> 00:18:00.520]   esses checkpoints, tá? Você
[00:18:00.520 --> 00:18:01.040]   precisa
[00:18:01.040 --> 00:18:03.560]   acompanhar, tá chegando e não
[00:18:03.560 --> 00:18:05.270]   tá chegando, tanto pra ele
[00:18:05.270 --> 00:18:07.540]   quanto pra você, tá? Não é
[00:18:07.540 --> 00:18:08.320]   sentir que
[00:18:08.320 --> 00:18:10.890]   tem algo. Por isso que eu falo
[00:18:10.890 --> 00:18:12.610]   muitas vezes com vocês que vêm
[00:18:12.610 --> 00:18:15.100]   nas lives, que assistem aulas,
[00:18:15.100 --> 00:18:15.280]   que
[00:18:15.280 --> 00:18:17.120]   são alunos incríveis, que que
[00:18:17.120 --> 00:18:19.170]   vocês estão fazendo com esse
[00:18:19.170 --> 00:18:20.750]   monte de teoria. Então hoje eu
[00:18:20.750 --> 00:18:20.840]   vou
[00:18:20.840 --> 00:18:22.700]   disponibilizar um arquivo pra
[00:18:22.700 --> 00:18:24.770]   vocês preencherem o blueprint
[00:18:24.770 --> 00:18:26.490]   de vocês, que não vai servir
[00:18:26.490 --> 00:18:27.360]   pra nada se
[00:18:27.360 --> 00:18:29.960]   vocês não preencherem. Não adianta
[00:18:29.960 --> 00:18:31.790]   ficarem só "olha, aprendi uma
[00:18:31.790 --> 00:18:33.920]   coisa muito legal, senti que eu
[00:18:33.920 --> 00:18:35.780]   fui". Nunca isso vai trazer
[00:18:35.780 --> 00:18:38.110]   algum resultado aqui, ok? Então
[00:18:38.110 --> 00:18:40.800]   eu trouxe três blueprints preenchidos,
[00:18:40.800 --> 00:18:43.380]   que são formas de produtos ou
[00:18:43.380 --> 00:18:45.790]   serviços diferentes. Vocês vão
[00:18:45.790 --> 00:18:48.080]   entender, eles estão dentro do
[00:18:48.080 --> 00:18:48.160]   meu
[00:18:48.160 --> 00:18:50.720]   ecossistema de produtos e aí eu
[00:18:50.720 --> 00:18:52.480]   tenho um curso online. O curso
[00:18:52.480 --> 00:18:54.570]   online, todos são pra mesma
[00:18:54.570 --> 00:18:55.360]   persona, tá?
[00:18:55.360 --> 00:18:57.230]   Quem é a minha persona? Quem
[00:18:57.230 --> 00:18:59.290]   tem muito conhecimento, tá no
[00:18:59.290 --> 00:19:01.110]   offline, quer vir pro digital
[00:19:01.110 --> 00:19:02.040]   ou tá naquele
[00:19:02.040 --> 00:19:03.510]   digital, olha como a foto de
[00:19:03.510 --> 00:19:05.040]   partida muda, ou já está no
[00:19:05.040 --> 00:19:06.920]   digital, mas está derrapando,
[00:19:06.920 --> 00:19:08.240]   não consegue
[00:19:08.240 --> 00:19:10.540]   estruturar todo o seu conhecimento
[00:19:10.540 --> 00:19:12.520]   e método e transformar isso em
[00:19:12.520 --> 00:19:14.680]   realmente um produto e validar.
[00:19:14.680 --> 00:19:17.280]   Eu vendo a minha promessa que
[00:19:17.280 --> 00:19:20.000]   você valide o seu produto com venda
[00:19:20.000 --> 00:19:22.560]   real em até quatro meses. Então
[00:19:22.560 --> 00:19:23.960]   essa é a grande estrutura que
[00:19:23.960 --> 00:19:25.360]   eu trago, porque eu preparo o
[00:19:25.360 --> 00:19:27.120]   especialista, especialista que
[00:19:27.120 --> 00:19:27.280]   tem
[00:19:27.280 --> 00:19:28.900]   controle, especialista que não
[00:19:28.900 --> 00:19:30.590]   tem segurança, especialista que
[00:19:30.590 --> 00:19:32.080]   já tem tanto conhecimento no
[00:19:32.080 --> 00:19:32.560]   off, que
[00:19:32.560 --> 00:19:34.200]   não quer chegar aqui na bolha
[00:19:34.200 --> 00:19:35.700]   do digital e gaguejar e não
[00:19:35.700 --> 00:19:37.600]   saber se expressar, porque ele
[00:19:37.600 --> 00:19:38.440]   pode ter muito
[00:19:38.440 --> 00:19:39.970]   conhecimento no off como um
[00:19:39.970 --> 00:19:41.830]   dentista, mas não ser nada como
[00:19:41.830 --> 00:19:43.840]   professor, como especialista,
[00:19:43.840 --> 00:19:44.920]   com didática
[00:19:44.920 --> 00:19:47.090]   de ensinar. Então a incubadora,
[00:19:47.090 --> 00:19:48.850]   ela serve pra isso. Eu não
[00:19:48.850 --> 00:19:51.280]   prometo a escala de milhões, aí
[00:19:51.280 --> 00:19:51.680]   você vai
[00:19:51.680 --> 00:19:53.080]   pro próximo produto, pra
[00:19:53.080 --> 00:19:54.410]   próxima esteira de outro
[00:19:54.410 --> 00:19:56.160]   especialista. Entende que o meu
[00:19:56.160 --> 00:19:57.120]   ponto de chegada é
[00:19:57.120 --> 00:19:58.730]   partida eu enxuguei pra eu
[00:19:58.730 --> 00:20:00.360]   ficar muito boa pra essa
[00:20:00.360 --> 00:20:01.160]   persona que não tem

[00:20:00.000 --> 00:20:01.390]   Para essa persona que não tem
[00:20:01.390 --> 00:20:02.970]   segurança, ela nem quer falar
[00:20:02.970 --> 00:20:04.630]   para ela "te ajudo, te ensina a
[00:20:04.630 --> 00:20:05.930]   faturar um milhão", você fala "que
[00:20:05.930 --> 00:20:07.080]   faturar um milhão? Eu não faturo
[00:20:07.080 --> 00:20:08.300]   nada, eu tenho muito conhecimento,
[00:20:08.300 --> 00:20:09.380]   eu nem sei o que fazer com isso".
[00:20:09.380 --> 00:20:10.880]   Então se você promete algo
[00:20:10.880 --> 00:20:12.530]   muito longe, a pessoa fala que
[00:20:12.530 --> 00:20:14.110]   é tão longe para ela, que ela
[00:20:14.110 --> 00:20:15.480]   não te escolhe, porque ela fala
[00:20:15.480 --> 00:20:16.640]   "é inviável isso para mim, isso
[00:20:16.640 --> 00:20:17.770]   aí é para quem está muito mais
[00:20:17.770 --> 00:20:19.390]   avançado, por isso que você tem
[00:20:19.390 --> 00:20:20.330]   que escolher quem é a sua
[00:20:20.330 --> 00:20:21.440]   persona e o ponto de partida
[00:20:21.440 --> 00:20:21.900]   dela".
[00:20:21.900 --> 00:20:23.480]   Então a minha pessoa quer vir
[00:20:23.480 --> 00:20:24.870]   para o digital ou ela está
[00:20:24.870 --> 00:20:26.940]   começando, está derrapando, não
[00:20:26.940 --> 00:20:28.680]   tem resultado, tem um método
[00:20:28.680 --> 00:20:30.590]   capengo, não está validado, não
[00:20:30.590 --> 00:20:32.320]   tem esteira de produtos, não
[00:20:32.320 --> 00:20:33.020]   tem funil.
[00:20:33.020 --> 00:20:35.090]   Essa é a minha persona, mas
[00:20:35.090 --> 00:20:37.260]   elas são diferentes ao longo
[00:20:37.260 --> 00:20:39.800]   das necessidades, ou seja, o
[00:20:39.800 --> 00:20:42.100]   Expert360 é um curso online
[00:20:42.100 --> 00:20:43.860]   para quem quer fazer sozinho,
[00:20:43.860 --> 00:20:46.140]   no seu tempo, sem pressão, mais
[00:20:46.140 --> 00:20:46.920]   barato.
[00:20:46.920 --> 00:20:49.520]   E aí o que é? Um curso completo
[00:20:49.520 --> 00:20:51.650]   que ela faz sozinha, tem dentro
[00:20:51.650 --> 00:20:53.910]   todos os meus módulos, tem um
[00:20:53.910 --> 00:20:56.030]   agente de IA, então inicialmente
[00:20:56.030 --> 00:20:57.340]   eu ia vender o curso só com a
[00:20:57.340 --> 00:20:59.360]   teoria, só que hoje eu, Carol,
[00:20:59.360 --> 00:21:01.830]   no mundo que nós estamos atualmente,
[00:21:01.830 --> 00:21:03.840]   não acredito mais em produtos
[00:21:03.840 --> 00:21:05.060]   sem IA nenhuma.
[00:21:05.060 --> 00:21:07.660]   Então se você está criando
[00:21:07.660 --> 00:21:09.920]   agora qualquer produto, tem que
[00:21:09.920 --> 00:21:12.270]   ter uma IA, o seu PDF, envia um
[00:21:12.270 --> 00:21:14.620]   PDF que ensine a usar a IA, não
[00:21:14.620 --> 00:21:16.680]   consigo mais imaginar um
[00:21:16.680 --> 00:21:18.980]   produto sem nenhuma entrega de
[00:21:18.980 --> 00:21:21.280]   IA, não vejo valor, não acredito
[00:21:21.280 --> 00:21:22.560]   que seja competitivo,
[00:21:22.560 --> 00:21:24.270]   principalmente se você está
[00:21:24.270 --> 00:21:25.000]   chegando agora.
[00:21:25.000 --> 00:21:26.770]   Pensa, você está chegando agora,
[00:21:26.770 --> 00:21:28.410]   você não tem nome, você não mal
[00:21:28.410 --> 00:21:30.340]   tem seguidores, não tem audiência,
[00:21:30.340 --> 00:21:31.850]   se você chega com um produto só
[00:21:31.850 --> 00:21:33.410]   um curso gravado igual o tiozinho
[00:21:33.410 --> 00:21:35.080]   lá que tem um monte, um grande
[00:21:35.080 --> 00:21:36.350]   player, por que eu vou escolher
[00:21:36.350 --> 00:21:36.740]   você?
[00:21:36.740 --> 00:21:38.540]   Agora não, você é pequeno, mas
[00:21:38.540 --> 00:21:40.150]   você já vem com seis agentes de
[00:21:40.150 --> 00:21:41.720]   IA, um para cada módulo, por
[00:21:41.720 --> 00:21:44.150]   quê? Porque a minha teoria do
[00:21:44.150 --> 00:21:46.360]   curso é a base para entender,
[00:21:46.360 --> 00:21:48.080]   mas a IA que faz com ele, a
[00:21:48.080 --> 00:21:49.740]   gente vai te conduzindo.
[00:21:49.740 --> 00:21:51.510]   Eu te trago o quê? A base de
[00:21:51.510 --> 00:21:53.670]   conhecimento para você entender
[00:21:53.670 --> 00:21:55.350]   o que a gente faz e conseguir
[00:21:55.350 --> 00:21:57.310]   também ajustar, senão a gente
[00:21:57.310 --> 00:21:58.820]   fica largado na mão do agente,
[00:21:58.820 --> 00:22:00.240]   a gente segue do jeito dele,
[00:22:00.240 --> 00:22:01.360]   por isso que é importante a
[00:22:01.360 --> 00:22:02.570]   gente ter o conhecimento, é por
[00:22:02.570 --> 00:22:03.660]   isso que eu falo que o ser
[00:22:03.660 --> 00:22:05.520]   humano não vai ser substituído
[00:22:05.520 --> 00:22:05.880]   pela IA.
[00:22:05.880 --> 00:22:07.450]   Quem que vai dar as orientações,
[00:22:07.450 --> 00:22:08.820]   sei isso que eu quero, sei isso
[00:22:08.820 --> 00:22:10.310]   que eu não quero? Você tem sua
[00:22:10.310 --> 00:22:12.050]   vivência, você tem sua história,
[00:22:12.050 --> 00:22:13.400]   ela tem um monte de conhecimento
[00:22:13.400 --> 00:22:14.590]   da internet e ela aprendeu a
[00:22:14.590 --> 00:22:16.150]   usar isso, mas você fala, não,
[00:22:16.150 --> 00:22:17.620]   traz mais para cá, não, traz
[00:22:17.620 --> 00:22:19.010]   mais para cá, então tudo que eu
[00:22:19.010 --> 00:22:21.080]   faço com a IA, eu acabo corrigindo
[00:22:21.080 --> 00:22:22.690]   ela mesmo que a IA faça coisas
[00:22:22.690 --> 00:22:24.280]   maravilhosas para a gente.
[00:22:24.280 --> 00:22:25.680]   E aí por que eu criei o info
[00:22:25.680 --> 00:22:27.740]   produto expert 360? Porque ele
[00:22:27.740 --> 00:22:29.610]   é um método completo que você
[00:22:29.610 --> 00:22:31.270]   faz no seu ritmo, sem depender
[00:22:31.270 --> 00:22:32.880]   de agenda, tem gente que não
[00:22:32.880 --> 00:22:34.910]   consegue participar nas sessões,
[00:22:34.910 --> 00:22:37.110]   as minhas sessões são à tarde,
[00:22:37.110 --> 00:22:38.280]   então ela não depende de agenda,
[00:22:38.280 --> 00:22:40.580]   é mais barato, quer estudar sozinha,
[00:22:40.580 --> 00:22:42.370]   é um orçamento mais barato,
[00:22:42.370 --> 00:22:44.880]   para essa pessoa, quem é ela?
[00:22:44.880 --> 00:22:46.440]   Não tem estrutura de método
[00:22:46.440 --> 00:22:48.720]   definido, porque é desde o zero.
[00:22:48.720 --> 00:22:51.320]   Aqui, ela faz as primeiras vendas,
[00:22:51.320 --> 00:22:52.720]   só com o curso online ela
[00:22:52.720 --> 00:22:54.590]   consegue fazer as primeiras
[00:22:54.590 --> 00:22:56.440]   vendas que eu tenho dentro da
[00:22:56.440 --> 00:22:58.810]   metodologia, o roteiro das vendas
[00:22:58.810 --> 00:23:00.910]   secretas, como ela faz as vendas
[00:23:00.910 --> 00:23:02.970]   secretas para validar o produto
[00:23:02.970 --> 00:23:03.920]   dela.
[00:23:03.920 --> 00:23:05.780]   Aí agora não, quero fazer em
[00:23:05.780 --> 00:23:07.850]   grupo, temos o fazemos juntos,
[00:23:07.850 --> 00:23:09.670]   e dentro da mentoria, eu tenho
[00:23:09.670 --> 00:23:11.330]   duas mentorias, em grupo e
[00:23:11.330 --> 00:23:13.360]   individual, o que que muda? As
[00:23:13.360 --> 00:23:15.540]   duas têm jornada de 12 meses,
[00:23:15.540 --> 00:23:16.760]   uma em grupo e a outra é
