
[00:00:00.000 --> 00:00:06.120]   Começamos! Sejam bem-vindos a
[00:11:51.600 --> 00:11:54.890]   é importante para você oferecer
[00:11:54.890 --> 00:11:57.320]   para mais tipos de persona,
[00:11:57.320 --> 00:12:00.600]   momentos diferentes da persona,
[00:12:00.600 --> 00:12:04.400]   mas não mostre tudo para elas,
[00:12:04.400 --> 00:12:06.080]   ela vai falar "nossa incrível,
[00:12:06.080 --> 00:12:07.930]   mas vou pensar", tá bom? Então
[00:12:07.930 --> 00:12:09.410]   a mesma oferta é irresistível
[00:12:09.410 --> 00:12:10.930]   para uma pessoa, mas é cara
[00:12:10.930 --> 00:12:11.600]   para outra,
[00:12:11.600 --> 00:12:13.450]   ela é perfeita para uma, mas
[00:12:13.450 --> 00:12:15.240]   para outra é ruim, não faz
[00:12:15.240 --> 00:12:17.150]   sentido, então você tem que
[00:12:17.150 --> 00:12:19.380]   fazer primeiro esse diagnóstico
[00:12:19.380 --> 00:12:20.100]   e entender,
[00:12:20.100 --> 00:12:21.720]   e é por isso que num lançamento
[00:12:21.720 --> 00:12:23.390]   você primeiro escolhe qual
[00:12:23.390 --> 00:12:25.080]   produto você vai vender, toda
[00:12:25.080 --> 00:12:27.600]   narrativa é para esse produto,
[00:12:27.600 --> 00:12:29.420]   depois que a pessoa entra você
[00:12:29.420 --> 00:12:31.500]   pode fazer um upsell, um downsell
[00:12:31.500 --> 00:12:33.600]   para ajustar para quem não entrou
[00:12:33.600 --> 00:12:35.000]   ou para quem entrou,
[00:12:35.000 --> 00:12:36.560]   para quem entrou você faz um upsell,
[00:12:36.560 --> 00:12:37.840]   para quem não entrou você faz
[00:12:37.840 --> 00:12:39.980]   um downsell com uma outra oferta
[00:12:39.980 --> 00:12:41.730]   para se ajustar ao momento da
[00:12:41.730 --> 00:12:42.600]   sua persona,
[00:12:42.600 --> 00:12:45.280]   então o princípio número um é
[00:12:45.280 --> 00:12:47.100]   que a sua pessoa não vive um
[00:12:47.100 --> 00:12:49.140]   momento, uma quer aprender
[00:12:49.140 --> 00:12:51.710]   fazendo, prefere autonomia,
[00:12:51.710 --> 00:12:53.100]   aprende no tempo dela,
[00:12:53.100 --> 00:12:54.840]   sem depender de ninguém, a
[00:12:54.840 --> 00:12:57.060]   outra quer você do lado, olhando,
[00:12:57.060 --> 00:12:59.720]   acompanhando, vivendo, orientando,
[00:12:59.720 --> 00:13:01.040]   e a outra quer o resultado
[00:13:01.040 --> 00:13:01.600]   pronto,
[00:13:01.600 --> 00:13:03.190]   não quer aprender, "Carol, eu
[00:13:03.190 --> 00:13:04.890]   não quero aprender como fazer o
[00:13:04.890 --> 00:13:06.600]   método, eu quero o meu método",
[00:13:06.600 --> 00:13:07.600]   porque eu já sei ensinar,
[00:13:07.600 --> 00:13:09.050]   eu já sou descolada, eu já
[00:13:09.050 --> 00:13:10.890]   tenho autoridade no off, eu só
[00:13:10.890 --> 00:13:12.240]   não quero essa burocracia de
[00:13:12.240 --> 00:13:14.600]   organizar, então você me passa
[00:13:14.600 --> 00:13:14.600]   aí,
[00:13:14.600 --> 00:13:16.140]   porque talvez ele não tem clareza
[00:13:16.140 --> 00:13:17.640]   de tanto conhecimento, ele não
[00:13:17.640 --> 00:13:19.100]   sabe o que pôr, o que tirar,
[00:13:19.100 --> 00:13:21.050]   então a gente constrói para a
[00:13:21.050 --> 00:13:21.600]   pessoa,
[00:13:21.600 --> 00:13:23.680]   e depois ela só dando "ok, faz
[00:13:23.680 --> 00:13:25.600]   sentido, ok, faz sentido",
[00:13:25.600 --> 00:13:28.330]   então ninguém tem uma oferta irresistível
[00:13:28.330 --> 00:13:30.020]   para muitas pessoas ao mesmo
[00:13:30.020 --> 00:13:30.600]   tempo,
[00:13:30.600 --> 00:13:32.920]   ó, deu um errinho aqui no meu
[00:13:32.920 --> 00:13:35.320]   título, já é, você vê? Então o
[00:13:35.320 --> 00:13:37.330]   que eu tenho aqui? Eu tenho a
[00:13:37.330 --> 00:13:39.480]   lista das ofertas que eu
[00:13:39.480 --> 00:13:40.600]   apresento,
[00:13:40.600 --> 00:13:42.900]   então eu tenho o Expert 360,
[00:13:42.900 --> 00:13:44.680]   que é o meu curso online que eu
[00:13:44.680 --> 00:13:46.700]   estou terminando de gravar, que
[00:13:46.700 --> 00:13:47.600]   é o meu próximo lançamento,
[00:13:47.600 --> 00:13:49.100]   eu tenho o Sprint do método,
[00:13:49.100 --> 00:13:50.780]   que é a minha nova oferta, que
[00:13:50.780 --> 00:13:52.580]   eu faço para a pessoa, eu entrego
[00:13:52.580 --> 00:13:53.600]   toda a fundação,
[00:13:53.600 --> 00:13:55.170]   eu defino a persona, eu defino
[00:13:55.170 --> 00:13:56.910]   a promessa, eu defino o método,
[00:13:56.910 --> 00:13:58.580]   e eu defino os produtos a serem
[00:13:58.580 --> 00:13:59.970]   criados e crio os produtos para
[00:13:59.970 --> 00:14:00.600]   a pessoa,
[00:14:00.600 --> 00:14:02.030]   para quê? Para uma pessoa que
[00:14:02.030 --> 00:14:03.380]   fala "nossa, eu queria isso,
[00:14:03.380 --> 00:14:05.100]   mas é muito trabalho", que não
[00:14:05.100 --> 00:14:06.230]   tem saco, eu tenho um monte de
[00:14:06.230 --> 00:14:06.600]   coisa que não tem saco para
[00:14:06.600 --> 00:14:06.600]   fazer,
[00:14:06.600 --> 00:14:09.190]   eu queria, por exemplo, consultora
[00:14:09.190 --> 00:14:10.650]   de imagem, né, eu acho
[00:14:10.650 --> 00:14:12.700]   importante a gente se cuidar, a
[00:14:12.700 --> 00:14:14.780]   gente ter uma imagem e tal, mas
[00:14:14.780 --> 00:14:15.600]   eu participo da elementary,
[00:14:15.600 --> 00:14:17.160]   assisti aula, eu não quero
[00:14:17.160 --> 00:14:18.890]   assistir aula, eu quero me dar
[00:14:18.890 --> 00:14:20.580]   aí um close de o que eu preciso
[00:14:20.580 --> 00:14:22.330]   usar, qual que combina comigo,
[00:14:22.330 --> 00:14:23.880]   me dá o resultado, então eu
[00:14:23.880 --> 00:14:24.600]   entraria nesse método,
[00:14:24.600 --> 00:14:25.840]   que é o Sprint do método, que a
[00:14:25.840 --> 00:14:27.170]   pessoa entrega para mim
[00:14:27.170 --> 00:14:28.600]   personalizada as minhas necessidades,
[00:14:28.600 --> 00:14:29.940]   e é o que eu faço no Sprint do
[00:14:29.940 --> 00:14:30.600]   método.
[00:14:30.600 --> 00:14:32.660]   Agora eu tenho o método Express,
[00:14:32.660 --> 00:14:34.650]   que é um encontro apenas, nesse
[00:14:34.650 --> 00:14:36.800]   um encontro eu tiro dúvidas, eu
[00:14:36.800 --> 00:14:38.850]   destravo a persona, ou seja,
[00:14:38.850 --> 00:14:39.600]   ela está muito travada,
[00:14:39.600 --> 00:14:41.410]   ela não consegue ver qual é o
[00:14:41.410 --> 00:14:43.500]   problema do método dela, vê que
[00:14:43.500 --> 00:14:45.530]   a oferta não está boa, então a
[00:14:45.530 --> 00:14:47.660]   gente se reúne e eu destravo e
[00:14:47.660 --> 00:14:48.600]   te dou, com certeza,
[00:14:48.600 --> 00:14:50.150]   um plano de ação para resolver
[00:14:50.150 --> 00:14:51.900]   isso. Agora eu tenho o método
[00:14:51.900 --> 00:14:53.720]   VIP, no geral o método VIP, as
[00:14:53.720 --> 00:14:55.040]   pessoas me contratam para
[00:14:55.040 --> 00:14:56.600]   trabalhar a partir do posicionamento,
[00:14:56.600 --> 00:14:59.230]   porque são três encontros em
[00:14:59.230 --> 00:15:01.770]   que a gente vai, eu faço, ajusta,
[00:15:01.770 --> 00:15:04.660]   analisa, ajusta, faz, ajusta,
[00:15:04.660 --> 00:15:06.600]   então a gente precisa realmente,

[00:15:00.000 --> 00:15:02.730]   A gente vai, eu faço, ajusta,
[00:15:02.730 --> 00:15:05.580]   analisa, ajusta, faz, ajusta.
[00:15:05.580 --> 00:15:07.390]   Então a gente precisa realmente,
[00:15:07.390 --> 00:15:08.870]   não adianta falar que em um
[00:15:08.870 --> 00:15:10.100]   encontro a gente consegue
[00:15:10.100 --> 00:15:12.160]   resolver, porque o posicionamento
[00:15:12.160 --> 00:15:13.420]   tem que testar formato, testar
[00:15:13.420 --> 00:15:14.300]   tipo de conteúdo,
[00:15:14.300 --> 00:15:17.030]   testar narrativa, ir testando a
[00:15:17.030 --> 00:15:19.000]   pessoa, ela ir treinando até
[00:15:19.000 --> 00:15:20.900]   encontrar, opa, encontrei
[00:15:20.900 --> 00:15:22.470]   o ponto e a partir disso a
[00:15:22.470 --> 00:15:23.620]   gente decola.
[00:15:23.620 --> 00:15:26.300]   Então a mentoria VIP, ela é
[00:15:26.300 --> 00:15:27.390]   principalmente para esse
[00:15:27.390 --> 00:15:29.400]   momento de posicionamento de
[00:15:29.400 --> 00:15:30.300]   autoridade.
[00:15:30.300 --> 00:15:31.860]   Aí a gente vai para a mentoria
[00:15:31.860 --> 00:15:33.590]   em grupo, que é para todo mundo
[00:15:33.590 --> 00:15:35.500]   que tem encontros semanais,
[00:15:35.500 --> 00:15:38.350]   tem a mentoria individual, que
[00:15:38.350 --> 00:15:40.770]   aí sim tem a de seis meses e a
[00:15:40.770 --> 00:15:42.980]   de doze meses, ou seja,
[00:15:42.980 --> 00:15:44.930]   eu tenho todo esse portfólio,
[00:15:44.930 --> 00:15:46.600]   mas eu não apresento todo o
[00:15:46.600 --> 00:15:48.340]   portfólio na sessão.
[00:15:48.340 --> 00:15:50.320]   Eu faço o diagnóstico com ela
[00:15:50.320 --> 00:15:52.530]   antes, eu entendo qual é o perfil
[00:15:52.530 --> 00:15:54.140]   dela, em que momento ela
[00:15:54.140 --> 00:15:56.140]   quer, o que ela quer, e aí eu
[00:15:56.140 --> 00:15:58.020]   vou com a oferta, então eu
[00:15:58.020 --> 00:16:00.020]   escolho uma dessas ofertas para
[00:16:00.020 --> 00:16:01.100]   apresentar
[00:16:01.100 --> 00:16:02.980]   e fazer sentido para ela.
[00:16:02.980 --> 00:16:04.170]   Então ela vai falar, aí eu já
[00:16:04.170 --> 00:16:05.320]   tenho um produto tal, Carol,
[00:16:05.320 --> 00:16:06.580]   mas eu tenho muita dificuldade
[00:16:06.580 --> 00:16:07.650]   de criar conteúdo, eu já vou
[00:16:07.650 --> 00:16:08.260]   direto aqui.
[00:16:08.260 --> 00:16:10.110]   Ah, Carol, eu não quero encontro
[00:16:10.110 --> 00:16:11.900]   em grupo, a minha agenda é ruim,
[00:16:11.900 --> 00:16:12.980]   então a gente já
[00:16:12.980 --> 00:16:15.040]   vai para cá, entende?
[00:16:15.040 --> 00:16:17.040]   Cada pessoa tem que se encaixar
[00:16:17.040 --> 00:16:18.100]   numa oferta.
[00:16:18.100 --> 00:16:20.770]   Você tem que entender como
[00:16:20.770 --> 00:16:22.310]   funciona a sua persona, quais
[00:16:22.310 --> 00:16:24.460]   são as necessidades dela,
[00:16:24.460 --> 00:16:26.320]   para aí sim você conseguir
[00:16:26.320 --> 00:16:28.240]   entregar uma oferta que faça
[00:16:28.240 --> 00:16:29.780]   sentido a cada venda e a
[00:16:29.780 --> 00:16:32.420]   cada lançamento e a cada funil.
[00:16:32.420 --> 00:16:34.740]   Então todos esses produtos
[00:16:34.740 --> 00:16:36.920]   podem ser fechados por funil, o
[00:16:36.920 --> 00:16:39.500]   funil é uma estratégia de vendas
[00:16:39.500 --> 00:16:41.340]   como você levar a pessoa do
[00:16:41.340 --> 00:16:43.500]   ponto A à venda do seu produto,
[00:16:43.500 --> 00:16:45.500]   ou seja, seus criativos, você
[00:16:45.500 --> 00:16:47.330]   tem que fazer criativo só para
[00:16:47.330 --> 00:16:49.610]   o curso, você fala das necessidades
[00:16:49.610 --> 00:16:50.940]   dele, os preços, os
[00:16:50.940 --> 00:16:52.970]   benefícios, tal, tal, tal, e
[00:16:52.970 --> 00:16:54.840]   chega do criativo da página de
[00:16:54.840 --> 00:16:56.700]   vendas para esse produto, aí
[00:16:56.700 --> 00:16:58.150]   você tem que fazer outro criativo
[00:16:58.150 --> 00:16:59.430]   para esse, outro para esse,
[00:16:59.430 --> 00:17:00.780]   outro para esse, um criativo
[00:17:00.780 --> 00:17:02.740]   e uma página, um criativo e uma
[00:17:02.740 --> 00:17:04.550]   página para cada produto, e
[00:17:04.550 --> 00:17:06.500]   cada um desses são funils.
[00:17:06.500 --> 00:17:08.060]   Eu recomendo você fazer funil
[00:17:08.060 --> 00:17:09.920]   para tudo isso com tráfego, não,
[00:17:09.920 --> 00:17:11.280]   porque a maioria das pessoas
[00:17:11.280 --> 00:17:14.010]   estão muito no começo, então o
[00:17:14.010 --> 00:17:15.740]   que que você precisa? Ah, Carol,
[00:17:15.740 --> 00:17:15.860]   ou para teste, então
[00:17:15.860 --> 00:17:17.230]   vou testar um novo serviço,
[00:17:17.230 --> 00:17:18.590]   esse é o meu novo serviço, o
[00:17:18.590 --> 00:17:20.100]   InfoService, que é o Sprint
[00:17:20.100 --> 00:17:22.020]   do método, ah, vou testar ele,
[00:17:22.020 --> 00:17:23.760]   então eu coloco ele para rodar
[00:17:23.760 --> 00:17:25.900]   para ver a conversão, a recepção,
[00:17:25.900 --> 00:17:27.900]   se está rolando ou não, esse é
[00:17:27.900 --> 00:17:29.950]   um ótimo serviço para ex-alunos
[00:17:29.950 --> 00:17:31.580]   que não destravaram,
[00:17:31.580 --> 00:17:33.320]   para pessoas que fizeram a sessão
[00:17:33.320 --> 00:17:35.000]   estratégica para eu reactivar e
[00:17:35.000 --> 00:17:36.260]   falar, oh, você não
[00:17:36.260 --> 00:17:37.870]   fechou a mentoria, mas que tal
[00:17:37.870 --> 00:17:39.690]   agora eu fazer para você? Pode
[00:17:39.690 --> 00:17:40.820]   fazer muito mais sentido,
[00:17:40.820 --> 00:17:42.630]   então você tem que conhecer as
[00:17:42.630 --> 00:17:44.570]   suas ofertas, os seus produtos,
[00:17:44.570 --> 00:17:46.420]   as possibilidades, encaixar
[00:17:46.420 --> 00:17:48.370]   no tipo de lead e definir quais
[00:17:48.370 --> 00:17:50.630]   você vai criar funil, qual você
[00:17:50.630 --> 00:17:52.100]   vai em um a um, agora
[00:17:52.100 --> 00:17:53.800]   eu tenho uma closer, então eu
[00:17:53.800 --> 00:17:55.770]   já coloquei qual ela vai reactivar
[00:17:55.770 --> 00:17:56.900]   e qual serviço ela
[00:17:56.900 --> 00:17:58.440]   vai oferecer, porque se a gente
[00:17:58.440 --> 00:18:00.260]   aparece com um leque de 7, 10,
[00:18:00.260 --> 00:18:01.700]   5 opções, a pessoa fala,
[00:18:01.700 --> 00:18:03.630]   hum, vou pensar e não sai do
[00:18:03.630 --> 00:18:05.900]   lugar, você vai ficar sem venda
[00:18:05.900 --> 00:18:08.140]   nenhuma, tá bom? E aí
[00:18:08.140 --> 00:18:09.900]   cada oferta responde a uma
[00:18:09.900 --> 00:18:12.700]   trava diferente, não é uma variação
[00:18:12.700 --> 00:18:14.020]   do preço em si, é
[00:18:14.020 --> 00:18:15.730]   uma variação do suporte, de
[00:18:15.730 --> 00:18:17.390]   quanto que você vai ajudar,
[00:18:17.390 --> 00:18:19.740]   quanto você vai entregar pronto,
[00:18:19.740 --> 00:18:22.310]   quanto que você vai acompanhar,
[00:18:22.310 --> 00:18:23.920]   quanto que você vai fazer, tudo
[00:18:23.920 --> 00:18:25.500]   isso você vai definir,
[00:18:25.500 --> 00:18:27.060]   então aqui a gente tem o meu
[00:18:27.060 --> 00:18:28.800]   método que são os cinco P's,
[00:18:28.800 --> 00:18:30.820]   persona, promessa, processo,
[00:18:30.820 --> 00:18:32.780]   o portfólio, posicionamento e
[00:18:32.780 --> 00:18:34.460]   cada ponto desse é uma trava
[00:18:34.460 --> 00:18:35.820]   diferente que a pessoa
[00:18:35.820 --> 00:18:38.550]   pode ter, e aí a gente tem que
[00:18:38.550 --> 00:18:40.910]   pensar, o que que ela quer,
[00:18:40.910 --> 00:18:43.100]   qual é a sua trava e como
[00:18:43.100 --> 00:18:45.760]   a gente consegue isso, se tornando
[00:18:45.760 --> 00:18:47.230]   especialista na persona, então
[00:18:47.230 --> 00:18:49.180]   não adianta você ser especialista
[00:18:49.180 --> 00:18:51.070]   só no seu conhecimento, só no
[00:18:51.070 --> 00:18:52.820]   seu método, você tem que se
[00:18:52.820 --> 00:18:54.380]   aprofundar na persona, a
[00:18:54.380 --> 00:18:56.490]   partir do momento que você tem
[00:18:56.490 --> 00:18:58.880]   esse aprofundamento, aí você
[00:18:58.880 --> 00:19:00.980]   vai perceber que você conhece
[00:19:00.980 --> 00:19:01.240]   muito
[00:19:01.240 --> 00:19:02.860]   mais do que você imagina e a
[00:19:02.860 --> 00:19:04.760]   sua a sua mente ela vai borbulhar
[00:19:04.760 --> 00:19:06.380]   de ideias, que você vai
[00:19:06.380 --> 00:19:09.110]   perceber como se adequar o seu
[00:19:09.110 --> 00:19:11.490]   método nas ofertas e você vai
[00:19:11.490 --> 00:19:13.820]   perceber que também aqui
[00:19:13.820 --> 00:19:15.480]   que eu tô falando o que? De um
[00:19:15.480 --> 00:19:17.280]   método para infinitas ofertas e
[00:19:17.280 --> 00:19:18.540]   é isso que eu espero que
[00:19:18.540 --> 00:19:20.310]   você faça, tem outras formas,
[00:19:20.310 --> 00:19:21.830]   dá pra gente fazer produtos
[00:19:21.830 --> 00:19:23.220]   diferentes para personas
[00:19:23.220 --> 00:19:23.820]   diferentes?
[00:19:23.820 --> 00:19:25.650]   Tem, eu não aconselho isso para
[00:19:25.650 --> 00:19:27.420]   quem tá começando, para quem
[00:19:27.420 --> 00:19:28.580]   não tem certeza se
[00:19:28.580 --> 00:19:30.440]   o caminho tá certo, para quem
[00:19:30.440 --> 00:19:32.460]   quer escalar lá na frente, ok,
[00:19:32.460 --> 00:19:33.980]   você pode ir abrindo para
[00:19:33.980 --> 00:19:36.660]   outras pessoas outras necessidades,
[00:19:36.660 --> 00:19:38.500]   mas eu não recomendo fazer isso
[00:19:38.500 --> 00:19:39.780]   até que o seu negócio
[00:19:39.780 --> 00:19:41.740]   digital baseado nesse método já
[00:19:41.740 --> 00:19:43.670]   esteja te dando um fluxo de caixa,
[00:19:43.670 --> 00:19:44.860]   ok, que você já
[00:19:44.860 --> 00:19:47.360]   tenha um funil que te dê recorrência,
[00:19:47.360 --> 00:19:48.940]   a partir disso tá na hora de
[00:19:48.940 --> 00:19:49.700]   escalar, não
[00:19:49.700 --> 00:19:51.590]   pense em escalar, não pense em
[00:19:51.590 --> 00:19:53.270]   dificultar os seus produtos
[00:19:53.270 --> 00:19:54.860]   antes do método validado
[00:19:54.860 --> 00:19:56.710]   dele fazer sentido e você ter
[00:19:56.710 --> 00:19:59.360]   um ou dois produtos básicos rodando,
[00:19:59.360 --> 00:20:00.280]   não sai criando

[00:20:00.000 --> 00:20:01.270]   não é criando um set igual eu
[00:20:01.270 --> 00:20:03.130]   criei aqui não, eu quero abrir
[00:20:03.130 --> 00:20:05.400]   a sua mente em que provavelmente
[00:20:05.400 --> 00:20:07.620]   nas vendas secretas quando você
[00:20:07.620 --> 00:20:09.500]   for fazendo você vai se aprofundando
[00:20:09.500 --> 00:20:11.640]   na persona e entendendo, a
[00:20:11.640 --> 00:20:13.560]   maioria não fechou porque é
[00:20:13.560 --> 00:20:15.990]   preço, mas o preço é só porque
[00:20:15.990 --> 00:20:17.710]   é caro porque, porque ela não
[00:20:17.710 --> 00:20:19.000]   conhece o mercado, porque ela
[00:20:19.000 --> 00:20:20.040]   não te conhece, porque ela não
[00:20:20.040 --> 00:20:21.330]   confia em você, porque ela não
[00:20:21.330 --> 00:20:22.640]   tem dinheiro mesmo, então a
[00:20:22.640 --> 00:20:23.900]   gente precisa de uma persona
[00:20:23.900 --> 00:20:25.210]   mais barata ou a gente precisa
[00:20:25.210 --> 00:20:26.570]   melhorar a comunicação para
[00:20:26.570 --> 00:20:28.080]   trazer uma persona mais cara,
[00:20:28.080 --> 00:20:29.500]   então isso você vai conhecendo
[00:20:29.500 --> 00:20:30.000]   e
[00:20:30.000 --> 00:20:31.580]   adaptando a sua oferta com o
[00:20:31.580 --> 00:20:32.940]   passar do tempo que você tem
[00:20:32.940 --> 00:20:34.180]   contato com ela.
[00:20:34.180 --> 00:20:36.870]   É só a sua especialização na
[00:20:36.870 --> 00:20:38.360]   persona que vai fazer com que
[00:20:38.360 --> 00:20:39.900]   você consiga criar
[00:20:39.900 --> 00:20:43.690]   as ofertas principais, as perfeitas,
[00:20:43.690 --> 00:20:45.610]   mas cada oferta perfeita para
[00:20:45.610 --> 00:20:47.080]   uma persona só, tá?
[00:20:47.080 --> 00:20:49.580]   E aí eu quero um exercício prático,
[00:20:49.580 --> 00:20:51.020]   eu coloquei pra gente treinar
[00:20:51.020 --> 00:20:53.070]   aqui, mas eu não vou esperar
[00:20:53.070 --> 00:20:53.640]   não, tá?
[00:20:53.640 --> 00:20:56.220]   Vou deixar aqui pra vocês,
[00:20:56.220 --> 00:20:57.870]   printem aí que eu quero que
[00:20:57.870 --> 00:21:00.680]   vocês pensem nessa persona, tá?
[00:21:00.680 --> 00:21:03.370]   Imagina essas situações reais,
[00:21:03.370 --> 00:21:05.180]   provavelmente esses três tipos
[00:21:05.180 --> 00:21:07.090]   de persona existem pra todo
[00:21:07.090 --> 00:21:07.560]   mundo,
[00:21:07.560 --> 00:21:09.450]   que é a que quer fazer sozinha,
[00:21:09.450 --> 00:21:11.110]   não quer pagar muito caro,
[00:21:11.110 --> 00:21:12.320]   então ela vai pra um curso
[00:21:12.320 --> 00:21:12.660]   online,
[00:21:12.660 --> 00:21:14.740]   pra um low ticket, pra algo que
[00:21:14.740 --> 00:21:17.160]   ela se vira, ela vai até tentar
[00:21:17.160 --> 00:21:18.220]   do jeito errado,
[00:21:18.220 --> 00:21:20.860]   fazendo só pelas suas dicas de
[00:21:20.860 --> 00:21:22.720]   YouTube, de internet, ela não
[00:21:22.720 --> 00:21:25.000]   vai conseguir até ela comprar,
[00:21:25.000 --> 00:21:26.670]   mas é uma persona mais difícil
[00:21:26.670 --> 00:21:28.430]   de converter, porque ela acredita
[00:21:28.430 --> 00:21:29.760]   que ela dá conta sozinha.
[00:21:29.760 --> 00:21:30.860]   Depois que ela vê que ela não
[00:21:30.860 --> 00:21:32.080]   dá conta sozinha, ela compra o
[00:21:32.080 --> 00:21:32.760]   curso online.
[00:21:32.760 --> 00:21:33.890]   Depois que ela vê que o curso
[00:21:33.890 --> 00:21:35.440]   online ainda está com dúvida,
[00:21:35.440 --> 00:21:36.760]   ela vai querer o seu olhar.
[00:21:36.760 --> 00:21:38.640]   Muitas vezes, por exemplo, apesar
[00:21:38.640 --> 00:21:40.050]   do meu método ele ser feito
[00:21:40.050 --> 00:21:41.320]   totalmente com IAAS,
[00:21:41.320 --> 00:21:44.100]   os plantões não me substituem,
[00:21:44.100 --> 00:21:45.120]   por quê?
[00:21:45.120 --> 00:21:47.180]   Porque eu dou um olhar, eu entendo
[00:21:47.180 --> 00:21:49.160]   a narrativa, eu entendo o todo,
[00:21:49.160 --> 00:21:51.140]   mais do que os especialistas agentes,
[00:21:51.140 --> 00:21:52.760]   porque eles são especialistas
[00:21:52.760 --> 00:21:53.520]   em um ponto.
[00:21:53.520 --> 00:21:55.270]   Eu sou especialista em todos os
[00:21:55.270 --> 00:21:57.120]   pontos, então um é muito bom em
[00:21:57.120 --> 00:21:57.720]   persona,
[00:21:57.720 --> 00:21:59.280]   um é muito bom em promessa,
[00:21:59.280 --> 00:22:01.010]   talvez eles sejam melhores do
[00:22:01.010 --> 00:22:01.800]   que eu em cada P,
[00:22:01.800 --> 00:22:03.050]   só que eu sou melhor do que
[00:22:03.050 --> 00:22:04.400]   eles em todos os P juntos,
[00:22:04.400 --> 00:22:05.900]   principalmente que a gente vai
[00:22:05.900 --> 00:22:07.690]   conversando com a aluna, vai
[00:22:07.690 --> 00:22:09.960]   conhecendo então a mentoria,
[00:22:09.960 --> 00:22:11.260]   esse é um medo de muitos
[00:22:11.260 --> 00:22:13.250]   especialistas, eu não acredito
[00:22:13.250 --> 00:22:14.480]   que a IA vai te substituir,
[00:22:14.480 --> 00:22:16.800]   principalmente quando você tem
[00:22:16.800 --> 00:22:19.040]   mais repertório e você consegue
[00:22:19.040 --> 00:22:20.440]   fazer curadoria.
[00:22:20.440 --> 00:22:23.400]   Curadoria é "eu testei essa ferramenta,
[00:22:23.400 --> 00:22:24.940]   eu testei isso aqui, faz a
[00:22:24.940 --> 00:22:25.960]   gente dessa parte",
[00:22:25.960 --> 00:22:29.250]   você vai ensinando não só a teoria,
[00:22:29.250 --> 00:22:31.130]   mas qual caminho o seu aluno
[00:22:31.130 --> 00:22:32.120]   tem que trilhar,
[00:22:32.120 --> 00:22:34.060]   e isso é mentoria, isso não é
[00:22:34.060 --> 00:22:35.710]   um agente de IA que vai fazer
[00:22:35.710 --> 00:22:37.810]   por você, então não tenham esse
[00:22:37.810 --> 00:22:38.320]   medo.
[00:22:38.320 --> 00:22:39.830]   E também depois eu quero que
[00:22:39.830 --> 00:22:41.610]   vocês entendam esses momentos
[00:22:41.610 --> 00:22:43.300]   distintos que você consegue
[00:22:43.300 --> 00:22:43.720]   fazer.

[00:20:00.000 --> 00:20:01.270]   não é criando um set igual eu
[00:20:01.270 --> 00:20:03.130]   criei aqui não, eu quero abrir
[00:20:03.130 --> 00:20:05.400]   a sua mente em que provavelmente
[00:20:05.400 --> 00:20:07.620]   nas vendas secretas quando você
[00:20:07.620 --> 00:20:09.500]   for fazendo você vai se aprofundando
[00:20:09.500 --> 00:20:11.640]   na persona e entendendo, a
[00:20:11.640 --> 00:20:13.560]   maioria não fechou porque é
[00:20:13.560 --> 00:20:15.990]   preço, mas o preço é só porque
[00:20:15.990 --> 00:20:17.710]   é caro porque, porque ela não
[00:20:17.710 --> 00:20:19.000]   conhece o mercado, porque ela
[00:20:19.000 --> 00:20:20.040]   não te conhece, porque ela não
[00:20:20.040 --> 00:20:21.330]   confia em você, porque ela não
[00:20:21.330 --> 00:20:22.640]   tem dinheiro mesmo, então a
[00:20:22.640 --> 00:20:23.900]   gente precisa de uma persona
[00:20:23.900 --> 00:20:25.210]   mais barata ou a gente precisa
[00:20:25.210 --> 00:20:26.570]   melhorar a comunicação para
[00:20:26.570 --> 00:20:28.080]   trazer uma persona mais cara,
[00:20:28.080 --> 00:20:29.500]   então isso você vai conhecendo
[00:20:29.500 --> 00:20:30.000]   e
[00:20:30.000 --> 00:20:31.580]   adaptando a sua oferta com o
[00:20:31.580 --> 00:20:32.940]   passar do tempo que você tem
[00:20:32.940 --> 00:20:34.180]   contato com ela.
[00:20:34.180 --> 00:20:36.870]   É só a sua especialização na
[00:20:36.870 --> 00:20:38.360]   persona que vai fazer com que
[00:20:38.360 --> 00:20:39.900]   você consiga criar
[00:20:39.900 --> 00:20:43.690]   as ofertas principais, as perfeitas,
[00:20:43.690 --> 00:20:45.610]   mas cada oferta perfeita para
[00:20:45.610 --> 00:20:47.080]   uma persona só, tá?
[00:20:47.080 --> 00:20:49.580]   E aí eu quero um exercício prático,
[00:20:49.580 --> 00:20:51.020]   eu coloquei pra gente treinar
[00:20:51.020 --> 00:20:53.070]   aqui, mas eu não vou esperar
[00:20:53.070 --> 00:20:53.640]   não, tá?
[00:20:53.640 --> 00:20:56.220]   Vou deixar aqui pra vocês,
[00:20:56.220 --> 00:20:57.870]   printem aí que eu quero que
[00:20:57.870 --> 00:21:00.680]   vocês pensem nessa persona, tá?
[00:21:00.680 --> 00:21:03.370]   Imagina essas situações reais,
[00:21:03.370 --> 00:21:05.180]   provavelmente esses três tipos
[00:21:05.180 --> 00:21:07.090]   de persona existem pra todo
[00:21:07.090 --> 00:21:07.560]   mundo,
[00:21:07.560 --> 00:21:09.450]   que é a que quer fazer sozinha,
